id,name,관련학과,관련자격
1009,환경위생검사원,환경보건학과환경과학과환경시스템과환경공학과보건환경과,"대기관리기술사,대기환경기사,대기환경산업기사,산업위생관리기사,산업위생관리기술사,산업위생관리산업기사,위생사"
34,치과의사,치의예과,치과의사
407,직업군인,부사관과군사학과,
10078,국제개발협력전문가,국제관계학과스페인어학과불어불문학과국제학부,
293,메이크업아티스트,메이크업아티스트과미용과코디네이션과,미용사(메이크업)
1433,발명가,벤처창업학과,
163,도축원 및 육류가공원,동물자원학과,
1010,방사성폐기물관리원,원자력공학과,"원자력기사,원자력발전기술사,핵연료물질취급자"
36,통계학연구원,수학과통계학과,"사회조사분석사,정보처리기능사,정보처리기사,정보처리산업기사"
408,직업상담 및 취업알선원,교육학과행정학과사회복지상담과심리학과사회복지학과경제학과경영학과,직업상담사
10079,창업컨설턴트,경영학과부동산학과창업경영과,
294,모델,모델과방송연예과연극영화과,
1436,신약개발연구원,생명공학과화학공학과생명과학과유전공학과생화학과,
164,양장사 및 양복사,섬유디자인과섬유디자인학과의류ㆍ의상학과패션디자인과,"양장기능사,양복기능사"
1061,국회의원,법학과국제학부사회학과정치외교학과경제학과경영학과행정학과,
37,한의사,한의예과,한의사
409,직업능력개발훈련교사,경영학과광고기획과금융보험학과소방방재학과소방안전관리과사회복지학과청소년지도학과아동학과건축공학과기계공학과메카트로닉스공학과화학공학과,직업능력개발훈련교사
10080,공정무역전문가,국제학부국제통상학과,
295,패턴사,섬유디자인과섬유디자인학과의류ㆍ의상학과패션디자인과,"양복기능사,양장기능사,패션디자인산업기사,한복기능사,한복산업기사"
1437,스포츠해설가,체육학과,
165,설문조사원,경영학과교육학과통계학과행정학과,사회조사분석사
1068,마케팅전문가,스포츠마케팅학과경영학과심리학과,
38,해부학연구원,수의학과생화학과생물학과의예과,
410,초등학교교사,초등교육과,정교사
296,무대감독,미디어영상학과미술학과연극영화과연극영화학과,
1438,카레이서,자동차과,자동차운전면허
166,세탁원,,세탁기능사
1076,자동차공학기술자,자동차공학과기계공학과자동차과,"자동차정비기능사,자동차정비기능장,자동차정비기사,자동차정비산업기사,자동차차체수리기능사"
39,해양학연구원,해양공학과해양시스템학과해양자원학과,
411,치과위생사,치위생과,치과위생사
298,무용가,무용과무용학과,
1439,캐스팅디렉터,연극영화과연극영화학과영화과방송연예과,
167,소믈리에,관광경영과관광경영학과식품영양학과식품조리과외식산업과외식산업학과호텔경영과,
1078,대형트럭 및 특수차운전원,전기공학과기계과자동차과전기과자동차공학과기계공학과,
40,화학연구원,화학과생화학과화학공학과,
412,캐디,,
299,문화재보존원,고고학과문화재보존학과사학과역사교육과,"국가유산수리기능자,국가유산수리기술자"
1440,일반의사,의예과,의사
169,영양사,식품가공과식품공학과식품영양과식품영양학과식품조리과,영양사
1080,환경공학기술자 및 연구원,공업화학과환경과학과화학공업과환경공업과환경공학과,"대기환경기사,대기환경산업기사,수질환경기사,수질환경산업기사,해양환경기사,환경기능사"
41,가전제품 설치 및 수리원,전자공학과전기공학과전기과전기전자과전기전자공학과전자과,"전기산업기사,전기응용기술사,전자기능사,전자기능장,전자기사,전자산업기사,전자응용기술사"
413,특수교사,특수교육학과,정교사
301,방송연출가,신문방송학과언론홍보학과광고홍보학과국어국문학과문예창작과문예창작학과방송영상과방송제작과사회학과연극영화과연극영화학과영상제작과,
1441,작가,문예창작학과문예창작과국어국문학과,
171,전통식품제조원,식품영양과식품영양학과식품조리과전통조리과조리과학과,"한식조리기능사,조리기능장"
1081,해양공학기술자,지구해양과학과환경과학과해양시스템학과해양공학과환경화학과환경공학과환경공업과해양자원학과,"해양공학기사,해양기술사,해양자원개발기사,해양조사산업기사,해양환경기사"
42,건설공사품질관리원,건축과토목과토목공학과건축학과건축공학과도시건설과,"건설재료시험기능사,건설재료시험기사,건설재료시험산업기사,건축품질시험기술사,토목품질시험기술사"
414,판사,법학과,변호사
303,연기자,방송연예과연극영화과영화과,
1541,자연과학연구원,화학과천문학과지리학과통계학과수학과지질학과물리학과대기과학과,
172,제과사 및 제빵사,식품가공과식품영양과식품영양학과식품조리과제과제빵과호텔조리과,"제과기능사,제과기능장,제빵기능사"
1087,전자 부품 및 제품 생산직,전자과전기공학과전기과전자공학과전기전자공학과,"전기산업기사,전자기능사,전자기능장,전자기사,전자산업기사,전자응용기술사"
46,건축공학기술자,건축학과건축과건축공학과,"건축구조기술사,건축기사,건축목공산업기사,건축목재시공기능장,건축사,건축산업기사,건축설비기사,건축설비산업기사,건축시공기술사,건축일반시공기능장,건축일반시공산업기사,건설안전기사,건축기계설비기술사"
415,프로바둑기사,,
